x, data
2014-09-27,142
2014-09-28,142
2014-09-29,146
2014-09-30,147
2014-10-01,146
2014-10-02,150
2014-10-03,152
2014-10-04,153
2014-10-05,155
2014-10-06,157
2014-10-07,161
2014-10-08,164
2014-10-09,167
2014-10-10,170
2014-10-11,171
2014-10-12,174
2014-10-13,183
2014-10-14,192
2014-10-15,193
2014-10-16,196
2014-10-17,197
2014-10-18,201
2014-10-19,205
2014-10-20,210
2014-10-21,216
2014-10-22,219
2014-10-23,223
2014-10-24,224
2014-10-25,224
2014-10-26,224
2014-10-27,229
2014-10-28,231
2014-10-29,232
2014-10-30,235
2014-10-31,240
2014-11-01,243
2014-11-02,244
2014-11-03,247
2014-11-04,249
2014-11-05,250
2014-11-06,254
2014-11-07,259
2014-11-08,262
2014-11-09,261
2014-11-10,266
2014-11-11,271
2014-11-12,273
2014-11-13,273
2014-11-14,277
2014-11-15,281
2014-11-16,284
2014-11-17,286
2014-11-18,291
2014-11-19,293
2014-11-20,300
2014-11-21,305
2014-11-22,308
2014-11-23,314
2014-11-24,318
2014-11-25,323
2014-11-26,331
2014-11-27,333
2014-11-28,341
2014-11-29,345
2014-11-30,347
2014-12-01,351
2014-12-02,356
2014-12-03,363
2014-12-04,365
2014-12-05,370
2014-12-06,373
2014-12-07,376
2014-12-08,378
2014-12-09,383
2014-12-10,390
2014-12-11,394
2014-12-12,400
2014-12-13,401
2014-12-14,404
2014-12-15,411
2014-12-16,418
2014-12-17,421
2014-12-18,426
2014-12-19,426
2014-12-20,429
2014-12-21,432
2014-12-22,437
2014-12-23,440
2014-12-24,444
2014-12-25,444
2014-12-26,445
2014-12-27,448
2014-12-28,452
2014-12-29,456
2014-12-30,465
2014-12-31,468
2015-01-01,471
2015-01-02,473
2015-01-03,475
2015-01-04,482
2015-01-05,485
2015-01-06,490
2015-01-07,492
2015-01-08,447
2015-01-09,450
2015-01-10,451
2015-01-11,456
2015-01-12,460
2015-01-13,465
2015-01-14,473
2015-01-15,478
2015-01-16,480
2015-01-17,485
2015-01-18,485
2015-01-19,490
2015-01-20,494
2015-01-21,495
2015-01-22,502
2015-01-23,504
2015-01-24,504
2015-01-25,504
2015-01-26,526
2015-01-27,531
2015-01-28,532
2015-01-29,537
2015-01-30,543
2015-01-31,545
2015-02-01,548
2015-02-02,551
2015-02-03,554
2015-02-04,560
2015-02-05,567
2015-02-06,576
2015-02-07,580
2015-02-08,584
2015-02-09,586
2015-02-10,594
2015-02-11,600
2015-02-12,603
2015-02-13,606
2015-02-14,609
2015-02-15,609
2015-02-16,616
2015-02-17,619
2015-02-18,624
2015-02-19,628
2015-02-20,632
2015-02-21,634
2015-02-22,642
2015-02-23,647
2015-02-24,650
2015-02-25,655
2015-02-26,656
2015-02-27,660
2015-02-28,662
2015-03-01,663
2015-03-02,668
2015-03-03,676
2015-03-04,679
2015-03-05,685
2015-03-06,689
2015-03-07,691
2015-03-08,694
2015-03-09,704
2015-03-10,711
2015-03-11,716
2015-03-12,722
2015-03-13,726
2015-03-14,729
2015-03-15,734
2015-03-16,740
2015-03-17,742
2015-03-18,751
2015-03-19,757
2015-03-20,761
2015-03-21,763
2015-03-22,768
2015-03-23,772
2015-03-24,778
2015-03-25,782
2015-03-26,790
2015-03-27,797
2015-03-28,798
2015-03-29,804
2015-03-30,807
2015-03-31,816
2015-04-01,820
2015-04-02,823
2015-04-03,827
2015-04-04,831
2015-04-05,835
2015-04-06,842
2015-04-07,851
2015-04-08,857
2015-04-09,860
2015-04-10,868
2015-04-11,875
2015-04-12,877
2015-04-13,883
2015-04-14,890
2015-04-15,890
2015-04-16,897
2015-04-17,898
2015-04-18,900
2015-04-19,901
2015-04-20,907
2015-04-21,915
2015-04-22,919
2015-04-23,922
2015-04-24,925
2015-04-25,926
2015-04-26,928
2015-04-27,932
2015-04-28,936
2015-04-29,940
2015-04-30,942
2015-05-01,947
2015-05-02,948
2015-05-03,948
2015-05-04,951
2015-05-05,953
2015-05-06,959
2015-05-07,967
2015-05-08,971
2015-05-09,973
2015-05-10,975
2015-05-11,980
2015-05-12,986
2015-05-13,988
2015-05-14,991
2015-05-15,994
2015-05-16,996
2015-05-17,999
2015-05-18,1014
2015-05-19,1018
2015-05-20,1021
2015-05-21,1024
2015-05-22,1029
2015-05-23,1030
2015-05-24,1036
2015-05-25,1039
2015-05-26,1040
2015-05-27,1044
2015-05-28,1046
2015-05-29,1047
2015-05-30,1050
2015-05-31,1052
2015-06-01,1057
2015-06-02,1059
2015-06-03,1062
2015-06-04,1066
2015-06-05,1066
2015-06-06,1069
2015-06-07,1069
2015-06-08,1076
2015-06-09,1082
2015-06-10,1084
2015-06-11,1088
2015-06-12,1093
2015-06-13,1095
2015-06-14,1097
2015-06-15,1099
2015-06-16,1105
2015-06-17,1106
2015-06-18,1110
2015-06-19,1115
2015-06-20,1117
2015-06-21,1118
2015-06-22,1120
2015-06-23,1126
2015-06-24,1133
2015-06-25,1138
2015-06-26,1144
2015-06-27,1144
